headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
"PG is down -0.05 today, but where's it headed in April?",04/06/2016,https://web.archive.org/web/20160406113548/http://www.zacks.com:80/stock/quote/PG?,['PG'],,Zacks,https://web.archive.org/web/20160406113548/http://www.zacks.com:80/stock/quote/PG?,PG,2.8
"Analysts Share Stocks They Would Buy In This Environment: Exxon Mobil, P&G And More",04/05/2020,https://web.archive.org/web/20200405185418/https://finance.yahoo.com/quote/PG/,['PG'],,Yahoo Finance,https://web.archive.org/web/20200405185418/https://finance.yahoo.com/quote/PG/,P&G,2.8
"Cramer Shares His Thoughts On Procter & Gamble, Virgin Galactic And More",04/05/2020,https://web.archive.org/web/20200405185418/https://finance.yahoo.com/quote/PG/,['PG'],,Yahoo Finance,https://web.archive.org/web/20200405185418/https://finance.yahoo.com/quote/PG/,Procter,2.8
"The Zacks Analyst Blog Highlights: Alphabet, Procter & Gamble, Philip Morris, Novo Nordisk and Tesla",04/05/2020,https://web.archive.org/web/20200405185418/https://finance.yahoo.com/quote/PG/,['PG'],,Yahoo Finance,https://web.archive.org/web/20200405185418/https://finance.yahoo.com/quote/PG/,Procter,2.8
"PG isup0.59%today,but where's it headed in 2020?",04/05/2020,https://web.archive.org/web/20200405201722/https://www.zacks.com/stock/quote/PG,['PG'],,Zacks,https://web.archive.org/web/20200405201722/https://www.zacks.com/stock/quote/PG,PG,2.8
"Pfizer in talks with P&G on sale of its consumer business, though they are far apart on price: Sources",04/05/2018,https://web.archive.org/web/20180405181621/https://finance.yahoo.com/quote/PG/,['PG'],,Yahoo Finance,https://web.archive.org/web/20180405181621/https://finance.yahoo.com/quote/PG/,P&G,2.8
"The Quarter's Five Worst Dow Stocks: Tough Times for GE, P&G",04/05/2018,https://web.archive.org/web/20180405181621/https://finance.yahoo.com/quote/PG/,['PG'],,Yahoo Finance,https://web.archive.org/web/20180405181621/https://finance.yahoo.com/quote/PG/,P&G,2.8
Former P&G executive joins senior leadership of marketing agency,04/05/2018,https://web.archive.org/web/20180405181621/https://finance.yahoo.com/quote/PG/,['PG'],,Yahoo Finance,https://web.archive.org/web/20180405181621/https://finance.yahoo.com/quote/PG/,P&G,2.8
How upgrading humans will become the next billion-dollar industry,04/05/2017,http:///web/20170405035348/http://www.marketwatch.com/story/how-upgrading-humans-will-become-the-next-billion-dollar-industry-2017-04-03?link=MW_popular,['PG'],,MarketWatch,https://web.archive.org/web/20170405035348/http://www.marketwatch.com/markets,PG,2.8
BookWatchHow upgrading humans will become the next billion-dollar industry,04/05/2017,https://web.archive.org/web/20170405035348/http://www.marketwatch.com/markets,['PG'],,MarketWatch,https://web.archive.org/web/20170405035348/http://www.marketwatch.com/markets,PG,2.8
JPMorgan upgrades Apple supplier to an 'overweight' rating in anticipation of the iPhone 8,04/04/2017,https://web.archive.org/web/20170404204243/http://www.cnbc.com/technology/,['PG'],,CNBC,https://web.archive.org/web/20170404204243/http://www.cnbc.com/technology/,PG,2.8
The Procter & Gamble Company(PG),04/04/2016,https://web.archive.org/web/20160404142251/http://seekingalpha.com/symbol/PG,['PG'],,Seeking Alpha,https://web.archive.org/web/20160404142251/http://seekingalpha.com/symbol/PG,Procter,2.8
"Goldman Upgrades Wingstop To Buy, Sets $28 Target",04/04/2016,https://web.archive.org/web/20160404010710/http://www.benzinga.com:80/trading-ideas,['PG'],,Benzinga,https://web.archive.org/web/20160404010710/http://www.benzinga.com:80/trading-ideas,PG,2.8
"PG isdown-0.21%today,but where's it headed in 2019?",04/02/2019,https://web.archive.org/web/20190402143444/https://www.zacks.com/stock/quote/PG,['PG'],,Zacks,https://web.archive.org/web/20190402143444/https://www.zacks.com/stock/quote/PG,PG,2.8
