headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
Why Chevron Stock Can Outperform Exxon-Mobil’s,04/02/2019,https://web.archive.org/web/20190402150029/https://www.marketwatch.com/investing,['XOM'],,MarketWatch,https://web.archive.org/web/20190402150029/https://www.marketwatch.com/investing,Exxon,2.8
"Stocks making the biggest moves premarket: Kellogg, J&J;, T-Mobile, PG&E; & more",04/02/2019,https://web.archive.org/web/20190402153732/https://www.cnbc.com/markets/,['XOM'],,CNBC,https://web.archive.org/web/20190402153732/https://www.cnbc.com/markets/,Mobil,2.8
"Exxon Mobil Becomes #17 Most Shorted Dow Stock, Replacing DowDuPont",04/02/2018,https://web.archive.org/web/20180402065833/https://www.thestreet.com/quote/XOM.html,['XOM'],,The Street,https://web.archive.org/web/20180402065833/https://www.thestreet.com/quote/XOM.html,Exxon,2.8
Exxon Is An Obvious Buy At These Prices,04/02/2018,https://web.archive.org/web/20180402065833/https://www.thestreet.com/quote/XOM.html,['XOM'],,The Street,https://web.archive.org/web/20180402065833/https://www.thestreet.com/quote/XOM.html,Exxon,2.8
"XOM isdown-0.95%today,but where's it headed in 2020?",04/01/2020,https://web.archive.org/web/20200401201731/https://www.zacks.com/stock/quote/XOM,['XOM'],,Zacks,https://web.archive.org/web/20200401201731/https://www.zacks.com/stock/quote/XOM,XOM,2.8
"Exxon Mobil Becomes #9 Most Shorted Dow Stock, Replacing Chevron",04/01/2019,https://web.archive.org/web/20190401030927/https://www.thestreet.com/quote/XOM.html,['XOM'],,The Street,https://web.archive.org/web/20190401030927/https://www.thestreet.com/quote/XOM.html,Exxon,2.8
Buy Chevron and Exxon Mobil on Momentum and Dividends,04/01/2019,https://web.archive.org/web/20190401030927/https://www.thestreet.com/quote/XOM.html,['XOM'],,The Street,https://web.archive.org/web/20190401030927/https://www.thestreet.com/quote/XOM.html,Exxon,2.8
Exxon Mobil Shares Slide After CEO Woods Unveils $65 Billion Capex Plans,04/01/2019,https://web.archive.org/web/20190401030927/https://www.thestreet.com/quote/XOM.html,['XOM'],,The Street,https://web.archive.org/web/20190401030927/https://www.thestreet.com/quote/XOM.html,Exxon,2.8
Better Dividend Aristocrat: Exxon Mobil Or Chevron?,04/01/2019,https://web.archive.org/web/20190401030927/https://www.thestreet.com/quote/XOM.html,['XOM'],,The Street,https://web.archive.org/web/20190401030927/https://www.thestreet.com/quote/XOM.html,Exxon,2.8
Which Institutions Are Selling ExxonMobil Stock?,04/01/2018,https://web.archive.org/web/20180401020308/https://finance.yahoo.com/quote/xom,['XOM'],,Yahoo Finance,https://web.archive.org/web/20180401020308/https://finance.yahoo.com/quote/xom,Exxon,2.8
